nflfastr_event;platform;ff_event
def_safety;sleeper;idp_safe
def_safety;sleeper;idp_safe
def_safety;sleeper;idp_safe
def_fumbles_forced;sleeper;idp_ff
def_fumbles_forced;sleeper;idp_ff
def_fumbles_forced;sleeper;idp_ff
def_tds;sleeper;idp_def_td
def_tds;sleeper;idp_def_td
def_tds;sleeper;idp_def_td
def_interceptions;sleeper;idp_int
def_interceptions;sleeper;idp_int
def_interceptions;sleeper;idp_int
def_qb_hit;sleeper;idp_qb_hit
def_qb_hit;sleeper;idp_qb_hit
def_qb_hit;sleeper;idp_qb_hit
passing_2pt_conversions;sleeper;pass_2pt
passing_2pt_conversions;sleeper;pass_2pt
passing_2pt_conversions;sleeper;pass_2pt
passing_2pt_conversions;sleeper;pass_2pt
passing_2pt_conversions;sleeper;pass_2pt
interceptions;sleeper;pass_int
interceptions;sleeper;pass_int
interceptions;sleeper;pass_int
interceptions;sleeper;pass_int
interceptions;sleeper;pass_int
fg_missed;sleeper;fgmiss
fg_missed;sleeper;fgmiss
fg_missed;sleeper;fgmiss
fg_missed;sleeper;fgmiss
fg_missed;sleeper;fgmiss
receiving_yards;sleeper;rec_yd
receiving_yards;sleeper;rec_yd
receiving_yards;sleeper;rec_yd
receiving_yards;sleeper;rec_yd
receiving_yards;sleeper;rec_yd
pat_missed;sleeper;xpmiss
pat_missed;sleeper;xpmiss
pat_missed;sleeper;xpmiss
pat_missed;sleeper;xpmiss
pat_missed;sleeper;xpmiss
fg_made_30_39;sleeper;fgm_30_39
fg_made_30_39;sleeper;fgm_30_39
fg_made_30_39;sleeper;fgm_30_39
fg_made_30_39;sleeper;fgm_30_39
fg_made_30_39;sleeper;fgm_30_39
fg_made_20_29;sleeper;fgm_20_29
fg_made_20_29;sleeper;fgm_20_29
fg_made_20_29;sleeper;fgm_20_29
fg_made_20_29;sleeper;fgm_20_29
fg_made_20_29;sleeper;fgm_20_29
fg_made_40_49;sleeper;fgm_40_49
fg_made_40_49;sleeper;fgm_40_49
fg_made_40_49;sleeper;fgm_40_49
fg_made_40_49;sleeper;fgm_40_49
fg_made_40_49;sleeper;fgm_40_49
fg_made_50_59;sleeper;fgm_50p
fg_made_60_;sleeper;fgm_50p
fg_made_50_59;sleeper;fgm_50p
fg_made_60_;sleeper;fgm_50p
fg_made_50_59;sleeper;fgm_50p
fg_made_60_;sleeper;fgm_50p
fg_made_50_59;sleeper;fgm_50p
fg_made_60_;sleeper;fgm_50p
fg_made_50_59;sleeper;fgm_50p
fg_made_60_;sleeper;fgm_50p
fg_made_0_19;sleeper;fgm_0_19
fg_made_0_19;sleeper;fgm_0_19
fg_made_0_19;sleeper;fgm_0_19
fg_made_0_19;sleeper;fgm_0_19
fg_made_0_19;sleeper;fgm_0_19
def_pass_defended;sleeper;idp_pass_def
def_pass_defended;sleeper;idp_pass_def
def_pass_defended;sleeper;idp_pass_def
def_tackles_for_loss;sleeper;idp_tkl_loss
def_tackles_for_loss;sleeper;idp_tkl_loss
def_tackles_for_loss;sleeper;idp_tkl_loss
def_fumble_recovery_opp;sleeper;idp_fum_rec
def_fumble_recovery_opp;sleeper;idp_fum_rec
def_fumble_recovery_opp;sleeper;idp_fum_rec
receiving_2pt_conversions;sleeper;rec_2pt
receiving_2pt_conversions;sleeper;rec_2pt
receiving_2pt_conversions;sleeper;rec_2pt
receiving_2pt_conversions;sleeper;rec_2pt
receiving_2pt_conversions;sleeper;rec_2pt
receptions;sleeper;rec
receptions;sleeper;rec
receptions;sleeper;rec
receptions;sleeper;rec
receptions;sleeper;rec
fg_missed_30_39;sleeper;fgmiss_30_39
fg_missed_30_39;sleeper;fgmiss_30_39
fg_missed_30_39;sleeper;fgmiss_30_39
fg_missed_30_39;sleeper;fgmiss_30_39
fg_missed_30_39;sleeper;fgmiss_30_39
pat_made;sleeper;xpm
pat_made;sleeper;xpm
pat_made;sleeper;xpm
pat_made;sleeper;xpm
pat_made;sleeper;xpm
def_sacks;sleeper;idp_sack
def_sacks;sleeper;idp_sack
def_sacks;sleeper;idp_sack
special_teams_tds;sleeper;def_st_td
def_tackles_with_assist;sleeper;idp_tkl_ast
def_tackles_with_assist;sleeper;idp_tkl_ast
def_tackles_with_assist;sleeper;idp_tkl_ast
def_tackles_solo;sleeper;idp_tkl_solo
def_tackles_solo;sleeper;idp_tkl_solo
def_tackles_solo;sleeper;idp_tkl_solo
rushing_2pt_conversions;sleeper;rush_2pt
rushing_2pt_conversions;sleeper;rush_2pt
rushing_2pt_conversions;sleeper;rush_2pt
rushing_2pt_conversions;sleeper;rush_2pt
rushing_2pt_conversions;sleeper;rush_2pt
receiving_tds;sleeper;rec_td
receiving_tds;sleeper;rec_td
receiving_tds;sleeper;rec_td
receiving_tds;sleeper;rec_td
receiving_tds;sleeper;rec_td
rushing_yards;sleeper;rush_yd
rushing_yards;sleeper;rush_yd
rushing_yards;sleeper;rush_yd
rushing_yards;sleeper;rush_yd
rushing_yards;sleeper;rush_yd
passing_yards;sleeper;pass_yd
passing_yards;sleeper;pass_yd
passing_yards;sleeper;pass_yd
passing_yards;sleeper;pass_yd
passing_yards;sleeper;pass_yd
passing_tds;sleeper;pass_td
passing_tds;sleeper;pass_td
passing_tds;sleeper;pass_td
passing_tds;sleeper;pass_td
passing_tds;sleeper;pass_td
rushing_tds;sleeper;rush_td
rushing_tds;sleeper;rush_td
rushing_tds;sleeper;rush_td
rushing_tds;sleeper;rush_td
rushing_tds;sleeper;rush_td
fg_missed_0_19;sleeper;fgmiss_0_19
fg_missed_0_19;sleeper;fgmiss_0_19
fg_missed_0_19;sleeper;fgmiss_0_19
fg_missed_0_19;sleeper;fgmiss_0_19
fg_missed_0_19;sleeper;fgmiss_0_19
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
receiving_fumbles_lost;sleeper;fum_lost
rushing_fumbles_lost;sleeper;fum_lost
sack_fumbles_lost;sleeper;fum_lost
fg_missed_20_29;sleeper;fgmiss_20_29
fg_missed_20_29;sleeper;fgmiss_20_29
fg_missed_20_29;sleeper;fgmiss_20_29
fg_missed_20_29;sleeper;fgmiss_20_29
fg_missed_20_29;sleeper;fgmiss_20_29
def_fumbles;sleeper;fum
def_fumbles;sleeper;fum
def_fumbles;sleeper;fum
